CS1510 AlgorithmDesign
CS1530 SoftwareEngineering
CS1538 IntroSimulation
CS1541 IntroComputerArchitecture
CS1555 DatabaseManagementSystems
CS1566 IntroComputerGraphics
CS1571 IntroAI
CS1573 AIProgramming
CS1622 IntroCompilerDesign
CS1631 SoftwareDesignMethodology
CS1635 InterfaceDesignMethodology
CS1645 IntroHighPerformanceComputingSystems
CS1651 AdvancedSystemsSoftware
CS1652 DataCommunicationsComputerNetworks
CS1653 AppliedCryptographyNetworkSecurity
CS1655 SecureDataManagementWebApplications
CS1666 GameDesign
CS1671 HumanLanguageTechnologies
